节点,入度,出度,度数,介数中心性,类型,路由活跃度,水平邻居得分,垂直商业得分
8928,7,3,10,0.15561224489795916,商业上游关系,0.8333333333333334,0.22793991722563153,1.6428571428571428
4323,2,2,4,0.19230769230769232,商业上游关系,0.3333333333333333,0.17993197278911563,1.0714285714285714
3491,4,6,10,0.22180795395081113,商业上游关系,0.8333333333333334,0.2006493506493506,1.7857142857142858
20485,3,1,4,0.0,商业上游关系,0.3333333333333333,0.13656462585034015,0.5
3561,1,4,5,0.06043956043956045,商业上游关系,0.4166666666666667,0.12497165532879817,0.8571428571428571
10026,3,4,7,0.06351386708529566,商业上游关系,0.5833333333333334,0.0881519274376417,0.5
3786,3,3,6,0.011316064887493458,商业上游关系,0.5,0.13228458049886618,0.42857142857142855
2828,2,2,4,0.07967032967032968,商业上游关系,0.3333333333333333,0.044642857142857144,0.07142857142857142
7473,5,7,12,0.4056776556776557,商业上游关系,1.0,0.05921717171717172,0.7857142857142857
5459,6,3,9,0.23750654107796965,商业上游关系,0.75,0.08219954648526076,0.21428571428571427
6453,2,2,4,0.03224751439037153,商业上游关系,0.3333333333333333,0.06802721088435373,0.2857142857142857
3320,3,3,6,0.05494505494505494,商业上游关系,0.5,0.030612244897959183,0.0
3257,3,3,6,0.07116692830978545,商业上游关系,0.5,0.02040816326530612,0.0
7132,2,1,3,0.005494505494505495,邻居关系,0.25,0.0,0.0
702,2,4,6,0.05664573521716379,商业上游关系,0.5,0.0,0.0
